User_ID,MySQL_Balance,Redis_Balance,Status
1,4690,4690,Synced
2,3462,3462,Synced
3,2270,2270,Synced
4,3525,3525,Synced
5,1566,1566,Synced
6,499,499,Synced
7,4483,4483,Synced
8,2417,2417,Synced
9,1219,1219,Synced
10,4292,4292,Synced
11,3652,3652,Synced
12,3675,3675,Synced
13,4768,4768,Synced
14,2251,2051,Mismatch
15,1593,1593,Synced
16,1584,1584,Synced
17,1110,1110,Synced
18,1977,1977,Synced
19,1566,1566,Synced
20,3329,3329,Synced
21,3563,3563,Synced
22,1185,1185,Synced
23,2583,2583,Synced
24,935,935,Synced
25,4528,4528,Synced
26,4124,4124,Synced
27,414,414,Synced
28,3748,3748,Synced
29,1070,1070,Synced
30,3825,3825,Synced
31,3017,3017,Synced
32,3908,3908,Synced
33,4367,4367,Synced
34,2766,2766,Synced
35,2690,2690,Synced
36,3272,3272,Synced
37,2454,2454,Synced
38,473,473,Synced
39,898,898,Synced
40,3301,3301,Synced
41,1410,1410,Synced
42,1223,1223,Synced
43,4660,4660,Synced
44,1498,1498,Synced
45,2890,2890,Synced
46,2415,2415,Synced
47,4205,4205,Synced
48,2865,2865,Synced
49,3715,3715,Synced
50,3474,3474,Synced
51,4268,4268,Synced
52,2258,2258,Synced
53,1500,1500,Synced
54,1918,1918,Synced
55,4546,4546,Synced
56,405,305,Mismatch
57,3213,3213,Synced
58,1764,1764,Synced
59,3286,3286,Synced
60,4842,4842,Synced
61,1259,1259,Synced
62,645,645,Synced
63,1331,1331,Synced
64,4208,4208,Synced
65,1368,1368,Synced
66,1087,887,Mismatch
67,196,-4,Mismatch
68,1315,1315,Synced
69,2246,2246,Synced
70,3239,3239,Synced
71,4103,4103,Synced
72,3938,3938,Synced
73,4608,4608,Synced
74,3368,3368,Synced
75,3893,3693,Mismatch
76,3291,3291,Synced
77,2787,2687,Mismatch
78,1606,1606,Synced
79,3603,3603,Synced
80,3212,3212,Synced
81,4416,4416,Synced
82,2629,2629,Synced
83,1987,1987,Synced
84,965,965,Synced
85,4868,4868,Synced
86,3533,3533,Synced
87,2382,2382,Synced
88,1852,1852,Synced
89,830,830,Synced
90,3126,3126,Synced
91,284,284,Synced
92,3550,3550,Synced
93,2567,2567,Synced
94,710,710,Synced
95,4934,4934,Synced
96,1948,1948,Synced
97,3909,3909,Synced
98,1478,1478,Synced
99,2702,2702,Synced
100,2196,2196,Synced
